nohup: ignoring input
Starting Power Logger...
2026-02-07 11:05:10.084460: 5222
2026-02-07 11:05:11.086127: 5323
2026-02-07 11:05:12.087795: 5323
2026-02-07 11:05:13.089464: 5323
2026-02-07 11:05:14.091111: 5223
2026-02-07 11:05:15.092776: 5323
2026-02-07 11:05:16.094393: 6393
2026-02-07 11:05:17.096069: 5525
2026-02-07 11:05:18.097752: 5323
2026-02-07 11:05:19.099421: 5323
2026-02-07 11:05:20.101073: 5323
2026-02-07 11:05:21.102323: 5323
2026-02-07 11:05:22.103949: 5323
2026-02-07 11:05:23.105566: 5323
2026-02-07 11:05:24.107197: 5323
2026-02-07 11:05:25.108847: 5223
2026-02-07 11:05:26.110523: 5323
2026-02-07 11:05:27.112131: 5323
2026-02-07 11:05:28.113814: 5323
2026-02-07 11:05:29.115430: 5323
2026-02-07 11:05:30.117038: 5323
2026-02-07 11:05:31.118634: 5323
2026-02-07 11:05:32.120272: 5223
2026-02-07 11:05:33.121905: 5323
2026-02-07 11:05:34.123538: 5323
2026-02-07 11:05:35.125164: 5223
2026-02-07 11:05:36.126802: 5223
2026-02-07 11:05:37.128438: 5223
2026-02-07 11:05:38.130063: 5323
2026-02-07 11:05:39.131716: 5323
2026-02-07 11:05:40.133328: 5222
2026-02-07 11:05:41.134946: 5323
2026-02-07 11:05:42.136548: 5223
2026-02-07 11:05:43.138182: 5323
2026-02-07 11:05:44.139824: 5323
2026-02-07 11:05:45.141435: 5323
2026-02-07 11:05:46.143037: 5323
2026-02-07 11:05:47.144675: 5323
2026-02-07 11:05:48.146286: 5323
2026-02-07 11:05:49.147958: 5323
2026-02-07 11:05:50.149594: 5323
2026-02-07 11:05:51.151234: 5323
2026-02-07 11:05:52.152845: 5323
2026-02-07 11:05:53.154500: 5323
2026-02-07 11:05:54.156131: 5223
2026-02-07 11:05:55.157761: 5223
2026-02-07 11:05:56.159401: 5223
2026-02-07 11:05:57.161034: 5323
2026-02-07 11:05:58.162703: 5323
2026-02-07 11:05:59.164385: 5323
2026-02-07 11:06:00.165502: 5323
2026-02-07 11:06:01.167123: 6190
2026-02-07 11:06:02.168715: 5707
2026-02-07 11:06:03.170325: 5323
2026-02-07 11:06:04.171967: 5323
2026-02-07 11:06:05.173595: 5323
2026-02-07 11:06:06.174826: 5223
2026-02-07 11:06:07.176101: 5323
2026-02-07 11:06:08.177714: 5323
2026-02-07 11:06:09.179308: 5323
2026-02-07 11:06:10.180945: 5323
2026-02-07 11:06:11.182554: 5323
2026-02-07 11:06:12.184152: 5323
2026-02-07 11:06:13.185771: 5323
2026-02-07 11:06:14.187382: 5323
2026-02-07 11:06:15.188994: 5323
2026-02-07 11:06:16.190620: 5323
2026-02-07 11:06:17.192235: 5323
2026-02-07 11:06:18.193836: 5122
2026-02-07 11:06:19.195447: 5323
2026-02-07 11:06:20.197080: 5323
2026-02-07 11:06:21.198717: 5323
2026-02-07 11:06:22.200362: 5323
2026-02-07 11:06:23.201990: 5323
2026-02-07 11:06:24.203608: 5323
2026-02-07 11:06:25.205238: 5323
2026-02-07 11:06:26.206874: 5223
2026-02-07 11:06:27.208589: 5323
2026-02-07 11:06:28.210226: 5323
